IAUNAME,SOURCEID,CUEVENTID,FRAMESETID,RA2000,DEC2000,L,B,LAMBDA,ETA,PRIORSEC,UMGPNT,UMGPNTERR,GMRPNT,GMRPNTERR,RMIPNT,RMIPNTERR,IMZPNT,IMZPNTERR,UMGEXT,UMGEXTERR,GMREXT,GMREXTERR,RMIEXT,RMIEXTERR,IMZEXT,IMZEXTERR,MERGEDCLASSSTAT,MERGEDCLASS,PSTAR,PGALAXY,PNOISE,PSATURATED,EBV,AU,AG,AR,AI,AZ,UMJD,UPETROMAG,UPETROMAGERR,UAPERMAG3,UAPERMAG3ERR,UAPERMAG4,UAPERMAG4ERR,UAPERMAG6,UAPERMAG6ERR,UAPERMAGNOAPERCORR3,UAPERMAGNOAPERCORR4,UAPERMAGNOAPERCORR6,UHLCORSMJRADAS,UGAUSIG,UELL,UPA,UERRBITS,UAVERAGECONF,UCLASS,UCLASSSTAT,UPPERRBITS,USEQNUM,UXI,UETA,GMJD,GPETROMAG,GPETROMAGERR,GAPERMAG3,GAPERMAG3ERR,GAPERMAG4,GAPERMAG4ERR,GAPERMAG6,GAPERMAG6ERR,GAPERMAGNOAPERCORR3,GAPERMAGNOAPERCORR4,GAPERMAGNOAPERCORR6,GHLCORSMJRADAS,GGAUSIG,GELL,GPA,GERRBITS,GAVERAGECONF,GCLASS,GCLASSSTAT,GPPERRBITS,GSEQNUM,GXI,GETA,RMJD,RPETROMAG,RPETROMAGERR,RAPERMAG3,RAPERMAG3ERR,RAPERMAG4,RAPERMAG4ERR,RAPERMAG6,RAPERMAG6ERR,RAPERMAGNOAPERCORR3,RAPERMAGNOAPERCORR4,RAPERMAGNOAPERCORR6,RHLCORSMJRADAS,RGAUSIG,RELL,RPA,RERRBITS,RAVERAGECONF,RCLASS,RCLASSSTAT,RPPERRBITS,RSEQNUM,RXI,RETA,IMJD,IPETROMAG,IPETROMAGERR,IAPERMAG3,IAPERMAG3ERR,IAPERMAG4,IAPERMAG4ERR,IAPERMAG6,IAPERMAG6ERR,IAPERMAGNOAPERCORR3,IAPERMAGNOAPERCORR4,IAPERMAGNOAPERCORR6,IHLCORSMJRADAS,IGAUSIG,IELL,IPA,IERRBITS,IAVERAGECONF,ICLASS,ICLASSSTAT,IPPERRBITS,ISEQNUM,IXI,IETA,ZMJD,ZPETROMAG,ZPETROMAGERR,ZAPERMAG3,ZAPERMAG3ERR,ZAPERMAG4,ZAPERMAG4ERR,ZAPERMAG6,ZAPERMAG6ERR,ZAPERMAGNOAPERCORR3,ZAPERMAGNOAPERCORR4,ZAPERMAGNOAPERCORR6,ZHLCORSMJRADAS,ZGAUSIG,ZELL,ZPA,ZERRBITS,ZAVERAGECONF,ZCLASS,ZCLASSSTAT,ZPPERRBITS,ZSEQNUM,ZXI,ZETA,PRIMARY_SOURCE
VST-ATLAS J032647.66-285037.29,730226485593,22911,730144538529,51.69857138249594,-28.84369068069744,225.07930266431927,-55.8117410243473,-39.60339246840402,-173.7344502369784,0,1.060009,0.0033947725,0.48614407,0.0010232022,0.122769356,0.0011525974,0.12224102,0.0017165778,1.1265926,0.0033947725,0.48248386,0.0010232022,-0.16037178,0.0011525974,0.35929966,0.0017165778,-1.4823914,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.014050158,0.07242857,0.05329225,0.038651984,0.029308628,0.020780183,,15.763621,0.0032425646,15.740753,0.0033098927,15.746512,0.003063931,15.748403,0.0030961917,16.158684,15.95617,15.787633,0.42939517,4.956669,0.012719631,159.96756,0,93.86218,-1,-0.5103184,,68,0.0,0.0,,14.679461,7.0937705E-4,14.680744,7.543807E-4,14.684542,7.037805E-4,14.688185,6.717601E-4,15.032091,14.873705,14.728477,0.43706626,4.8548117,0.029824674,80.68709,0,101.191986,-1,-0.6977423,16,332,-0.010974782,-0.00592869,,14.179303,6.6515774E-4,14.1946,6.912687E-4,14.199084,6.469459E-4,14.200913,6.157078E-4,14.549607,14.3975115,14.243531,0.4642456,6.8875785,0.12008995,68.83121,0,100.70168,-1,-0.8660138,,478,-0.05510115,0.06560653,,14.0566845,8.1906375E-4,14.071831,9.222951E-4,14.077006,8.1548933E-4,14.068584,7.476362E-4,14.709979,14.42751,14.152024,0.61809677,7.8162746,0.096933484,73.74742,0,50.455086,-1,-0.51858336,4194432,317,-0.05704699,-0.016185563,,13.946345,0.0015533535,13.94959,0.0014477607,13.94898,0.001371724,13.944091,0.0014052812,14.350679,14.18474,13.996121,0.53431207,5.939113,0.08828437,96.435905,0,96.51671,-1,-0.3407023,,216,-0.057579353,0.024646865,1
VST-ATLAS J032646.41-285636.22,730226485572,22911,730144538529,51.69337844188592,-28.94339431416604,225.25468448516008,-55.82766156189644,-39.55386081502572,-173.6220283081512,0,0.9520521,0.0043569887,0.4937029,0.0013509899,0.16424179,0.0015038294,0.1416521,0.0022447228,1.0186338,0.0043569887,0.49004173,0.0013509899,-0.11889839,0.0015038294,0.37871075,0.0022447228,0.7761203,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.014210698,0.07325615,0.053901177,0.03909363,0.029643515,0.021017622,,16.245625,0.0044838744,16.229626,0.004241256,16.229626,0.0039482447,16.230984,0.0041514025,16.647554,16.439283,16.270214,0.46660545,4.648412,0.04611218,153.03131,0,100.90103,-1,-0.21740805,,47,0.0,0.0,,15.267759,9.703128E-4,15.277574,9.975459E-4,15.276897,9.310126E-4,15.278346,9.001017E-4,15.628921,15.466061,15.318638,0.4874708,6.1615543,0.07453823,72.18999,0,102.11898,-1,0.36388665,,203,0.023438444,-0.044631228,,14.769696,8.9159625E-4,14.783871,9.110851E-4,14.7817545,8.5227285E-4,14.780532,8.2153495E-4,15.138879,14.980182,14.82315,0.46985152,6.2598224,0.09459329,64.025085,0,101.813934,-1,0.8117788,,303,-0.034537464,-0.022032144,,14.612834,0.0011187299,14.619629,0.0011964225,14.616014,0.0010579092,14.611988,9.943836E-4,15.257777,14.966517,14.695428,0.58749104,7.431669,0.08518046,80.542534,0,101.328575,-1,0.26433522,,216,-0.028343437,-0.076343015,,14.489394,0.0021346554,14.477977,0.0018993035,14.476772,0.0018219755,14.473119,0.001966801,14.879066,14.712532,14.525149,0.5082195,5.617107,0.07167691,85.93618,0,103.25857,-1,0.3146194,,134,-0.017213983,-0.04743719,1
VST-ATLAS J032629.67-290129.68,730226485554,22911,730144538529,51.623637170851204,-29.024911675252763,225.3868734602298,-55.897403394609334,-39.4623557022335,-173.56415579264944,0,1.464242,0.0053548743,0.689517,0.0012550056,0.23256493,0.0013076826,0.2286501,0.0018477469,1.5308256,0.0053548743,0.6858568,0.0012550056,-0.05057621,0.0013076826,0.46570778,0.0018477469,1.4246216,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.013559688,0.06990019,0.051431894,0.0373027,0.028285509,0.020054778,,16.721153,0.0060070283,16.709177,0.0052682753,16.70859,0.0049530114,16.710337,0.0054418915,17.127108,16.918247,16.749567,0.4604836,4.425044,0.027422905,178.29959,0,94.97984,-1,0.9454556,,29,0.0,0.0,,15.23003,9.297258E-4,15.244935,9.591431E-4,15.243803,8.945888E-4,15.243267,8.6195266E-4,15.596282,15.432966,15.283559,0.49020198,6.267892,0.078264,71.973755,0,98.472946,-1,0.44388556,,79,0.0528778,0.018265668,,14.530461,7.815867E-4,14.555418,8.093724E-4,14.550957,7.5531006E-4,14.546156,7.2165113E-4,14.910425,14.749384,14.588774,0.4850498,6.532439,0.092539966,68.16768,0,98.156876,-1,0.45926827,,125,0.052200116,-0.02374523,,14.30503,9.4048126E-4,14.322853,0.0010271077,14.317722,9.0507325E-4,14.313016,8.3808164E-4,14.961001,14.668226,14.396456,0.62853736,7.7918563,0.10277575,77.75567,0,94.412415,-1,0.65923095,,101,0.028349318,0.035051752,,14.0928,0.0016756352,14.094203,0.0015359747,14.093802,0.0014589352,14.089352,0.0015103798,14.495294,14.329562,14.141382,0.51232237,5.988935,0.047255337,71.22415,0,99.05701,-1,0.5378699,,62,0.017046336,0.013834579,1
VST-ATLAS J032745.63-290227.16,730226486913,22911,730144538531,51.940130996253586,-29.040876727827623,225.4698366768186,-55.624178448583095,-39.70089654821779,-173.38098802054455,0,1.4174604,0.0055531687,0.7405815,0.0013080662,0.25524902,0.0013262155,0.24236202,0.0018769354,1.4693041,0.0055531687,0.73886585,0.0013080662,-0.032230377,0.0013262155,0.46355438,0.0018769354,1.4932536,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.008265481,0.04260856,0.03135097,0.02273834,0.017241795,0.012224646,,16.736256,0.006447553,16.732931,0.0054590628,16.726582,0.005182152,16.721756,0.005838728,17.12883,16.926437,16.758272,0.44838998,4.343385,0.02081269,141.83032,0,100.60234,-1,0.78807795,,6,0.0,0.0,,15.3069515,9.913543E-4,15.315471,0.0010179962,15.313298,9.5123745E-4,15.3128805,9.208449E-4,15.659526,15.499432,15.355643,0.48578188,6.069952,0.07141781,79.8402,0,98.282234,-1,0.40455016,,55,-0.094638646,0.11152194,,14.550296,7.983694E-4,14.574889,8.21414E-4,14.568415,7.679386E-4,14.567336,7.360734E-4,14.92066,14.763224,14.607642,0.50736886,6.485322,0.092023194,70.95783,0,98.48023,-1,0.93282944,,83,-0.09533597,0.06501321,,14.283904,9.540769E-4,14.31964,0.001041214,14.302231,9.15478E-4,14.2947855,8.467189E-4,14.95289,14.654906,14.3781,0.6436144,7.851557,0.08969188,85.4961,0,100.23373,-1,1.1277016,,72,0.035406098,0.018067325,,14.089453,0.0016853135,14.077278,0.0015616529,14.079051,0.0014830959,14.07683,0.0015317125,14.489336,14.324358,14.135892,0.5285673,5.906144,0.061159313,104.948944,0,100.00332,-1,0.0,,31,-0.08070504,0.06578247,1
VST-ATLAS J032741.25-290153.30,730226486915,22911,730144538531,51.921888598770146,-29.031471364172724,225.45011200923568,-55.638972557039374,-39.69107551298346,-173.40138850784584,0,1.5099554,0.006638168,0.63575554,0.0014935171,0.16383743,0.0016070426,0.17196083,0.0023909758,1.561799,0.006638168,0.6340399,0.0014935171,-0.12364197,0.0016070426,0.3931532,0.0023909758,1.642119,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.00828698,0.042719383,0.031432513,0.022797482,0.01728664,0.0122564435,,17.069563,0.008168475,17.066137,0.0065397564,17.065928,0.0063050794,17.054918,0.007389167,17.462036,17.265783,17.091433,0.45673257,4.3770466,0.021974087,151.96083,0,100.33359,-1,0.37214747,,8,0.0,0.0,,15.553277,0.0011173245,15.556182,0.0011387974,15.555521,0.0010663893,15.554418,0.0010399917,15.900237,15.741654,15.59718,0.48231742,5.8332224,0.07528335,67.12774,0,99.00641,-1,0.89825153,,71,-0.0042266203,-0.0065926523,,14.904664,9.51618E-4,14.920426,9.662991E-4,14.914542,9.053639E-4,14.913575,8.767957E-4,15.266197,15.109351,14.953881,0.48974732,6.117786,0.08112049,65.57869,0,98.39304,-1,0.70958215,,100,-0.020008141,-0.021998769,,14.738084,0.0012101392,14.756589,0.0012840764,14.7414255,0.0011347701,14.735913,0.0010733082,15.389839,15.094101,14.819228,0.6211126,7.3452697,0.10126406,75.74201,0,100.51517,-1,1.0053318,,85,0.063968204,0.0062739933,,14.614515,0.002260475,14.584628,0.0020169069,14.586294,0.0019396356,14.585917,0.002108868,14.996686,14.831601,14.6449795,0.51731586,5.4842606,0.09082705,92.84149,0,100.13978,-1,0.13878937,,36,-0.005159563,-0.022309944,1
VST-ATLAS J032806.62-290117.89,730226486917,22911,730144538531,52.027568761802684,-29.02163733606218,225.45124192909975,-55.54604675189667,-39.77760027399692,-173.35730874006703,0,1.4129763,0.006561333,0.6378412,0.0015540472,0.1914196,0.001656966,0.20651817,0.002442516,1.4648199,0.006561333,0.63612556,0.0015540472,-0.0960598,0.001656966,0.42771053,0.002442516,-0.17113277,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.007275382,0.037504595,0.027595524,0.020014575,0.015176447,0.01076029,,17.05786,0.008136315,17.03595,0.006453063,17.035135,0.006213362,17.046648,0.0073741316,17.431849,17.23499,17.083162,0.45546025,4.114369,0.067266405,177.8042,0,100.94379,-1,-0.24843723,,10,0.0,0.0,,15.624574,0.0011708521,15.622973,0.0011870426,15.622249,0.0011122033,15.622732,0.0010890708,15.967029,15.808382,15.665495,0.472197,5.72211,0.07449019,66.02189,0,99.46535,-1,-0.21330667,,80,-0.05022233,-0.023233777,,14.980966,9.93147E-4,14.985132,0.0010029919,14.983771,9.4226474E-4,14.985408,9.1643544E-4,15.330903,15.17858,15.025714,0.45489842,5.928301,0.08246189,66.19278,0,99.009094,-1,-0.030537961,,111,-0.0385458,-0.007366571,,14.782096,0.0012537818,14.793713,0.0013189176,14.783688,0.0011692524,14.778407,0.0011099274,15.426963,15.136363,14.861722,0.58892596,7.27963,0.077303946,74.45886,0,101.81082,-1,0.7576799,,93,-0.156458,-0.02507584,,14.623517,0.002293443,14.587194,0.0020558066,14.589302,0.0019797138,14.588764,0.0021612544,14.999252,14.834609,14.647826,0.5034085,5.370737,0.0825786,95.38226,0,101.96748,-1,-0.47127932,,44,-0.04795822,0.004684053,1
VST-ATLAS J032644.77-290352.54,730226485541,22911,730144538529,51.686527364254445,-29.064593845632643,225.46798052479562,-55.847134469210765,-39.493096533260086,-173.4858567962398,0,0.7959852,0.0036420836,0.47970295,0.0012174668,0.13098335,0.0013835431,0.15111351,0.0020545637,0.8625679,0.0036420836,0.47604275,0.0012174668,-0.15215778,0.0013835431,0.38817215,0.0020545637,0.3695005,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.012775651,0.06585848,0.048458043,0.035145815,0.026650008,0.018895188,,15.871445,0.0035038418,15.876086,0.0035305968,15.873033,0.003260163,15.861548,0.0032983876,16.294016,16.082691,15.900779,0.47537646,4.86567,0.011713862,81.09907,0,51.761944,-1,1.16048735E-8,4194432,16,0.0,0.0,,15.068283,8.4311515E-4,15.080101,8.942361E-4,15.076574,8.325265E-4,15.076038,7.9900067E-4,15.431448,15.265738,15.11633,0.50089926,5.9970512,0.093565166,71.750175,0,50.11548,-1,0.8127192,4194432,27,-0.02749662,0.01236364,,14.660579,8.1632397E-4,14.600398,8.2617626E-4,14.606894,7.751473E-4,14.608788,7.4411504E-4,14.955405,14.805321,14.651405,0.27319774,4.741835,0.04458517,65.33107,0,50.217808,-1,-0.65083295,4194448,48,-0.120097265,-0.025889874,,14.443068,0.0010230327,14.469415,0.0011097857,14.45981,9.770589E-4,14.449217,9.08036E-4,15.107563,14.810314,14.532657,0.64138484,7.6663117,0.10188687,81.495445,0,100.86634,-1,1.3814869,,46,-0.12901816,-0.03812061,,14.356777,0.0018611617,14.318301,0.0017290481,14.327301,0.0016594043,14.329728,0.0017657215,14.719391,14.563061,14.381759,0.45827544,5.260413,0.07407987,81.38566,0,51.121323,-1,-1.4510047,4194432,26,-0.094824664,-0.0061057815,1
VST-ATLAS J032744.06-285800.37,730226486927,22911,730144538531,51.93356860447708,-28.96677049072559,225.33828311402957,-55.62150688879191,-39.72992944900143,-173.4699388398986,0,1.215272,0.004569422,0.6113558,0.0012274038,0.21098804,0.0012984374,0.18706799,0.0018927376,1.2671137,0.004569422,0.6096401,0.0012274038,-0.076491356,0.0012984374,0.40826035,0.0018927376,0.124736115,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.007862919,0.04053335,0.029824052,0.021630889,0.016402049,0.011629257,,16.321924,0.004914675,16.306986,0.004473146,16.30371,0.0042070867,16.307098,0.0045630126,16.702883,16.503565,16.343613,0.44454554,4.4594784,0.038175702,157.61755,0,103.11184,-1,0.16889581,,20,0.0,0.0,,15.082016,9.0547453E-4,15.091714,9.330505E-4,15.091976,8.72067E-4,15.092643,8.4045494E-4,15.435769,15.27811,15.135406,0.49790284,6.2935886,0.10179412,70.40296,0,100.46409,-1,0.442438,,144,-0.043494523,-0.020840291,,14.462111,7.7861536E-4,14.480358,7.9745636E-4,14.478953,7.4710813E-4,14.480358,7.1594643E-4,14.826129,14.673762,14.520664,0.48477975,6.628645,0.1036005,76.84204,0,101.05085,-1,0.09004797,,218,-0.060287595,0.03920106,,14.260696,9.489376E-4,14.26937,0.0010246965,14.267316,9.0743304E-4,14.269371,8.4283884E-4,14.90262,14.619991,14.352686,0.60235065,7.7229414,0.09658164,80.62743,0,101.07673,-1,0.0,,163,-0.04630439,-0.023344092,,14.096827,0.0017253793,14.082302,0.0015913681,14.084929,0.0015131757,14.082839,0.0015682455,14.49436,14.330236,14.141901,0.5271513,5.8682427,0.070289075,83.151505,0,101.162796,-1,-0.83827996,,89,-0.05757761,0.04757001,1
VST-ATLAS J032744.11-285323.65,730226486942,22911,730144538531,51.93380802788418,-28.889903045207916,225.203111492483,-55.61246785931432,-39.76544516569871,-173.5586029718704,0,1.045435,0.0048526493,0.48960972,0.001439562,0.15597248,0.0015978279,0.13303661,0.0024290546,1.0972786,0.0048526493,0.48789406,0.001439562,-0.13150692,0.0015978279,0.35422897,0.0024290546,-1.294624,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.008466089,0.043642692,0.032111876,0.023290211,0.017660262,0.012521345,,16.414923,0.0052751326,16.400248,0.0047336137,16.400248,0.004472662,16.399061,0.0048967414,16.796146,16.600101,16.435575,0.42587617,4.450637,0.01433152,129.44601,0,99.70199,-1,-0.3396397,,35,0.0,0.0,,15.353481,0.0010446563,15.354813,0.0010682249,15.357016,0.0010008194,15.358104,9.727588E-4,15.698868,15.543149,15.4008665,0.46347547,5.978332,0.058520794,76.83067,0,101.28293,-1,-0.8681734,,243,0.0054646716,0.021187622,,14.856554,9.6378085E-4,14.865203,9.650047E-4,14.866689,9.073113E-4,14.868752,8.801743E-4,15.210974,15.061498,14.909058,0.45704356,6.266415,0.09170228,73.923904,0,102.12342,-1,-0.21762463,,405,-0.017794976,-0.0137354145,,14.723445,0.0012220463,14.70923,0.0012735069,14.714695,0.001136738,14.720401,0.0010820483,15.342481,15.06737,14.803716,0.50455505,7.3119564,0.09855628,81.63855,0,100.76453,-1,-0.70480704,,264,0.058171198,-0.028723545,,14.600886,0.0023256917,14.576194,0.0020684502,14.575693,0.001989795,14.572533,0.0021708088,14.988252,14.821,14.631595,0.52602893,5.5463133,0.093082845,96.85243,0,100.24211,-1,-0.17274998,,155,-0.021489311,-0.0058020223,1
VST-ATLAS J032627.04-290453.00,730226485529,22911,730144538529,51.61265878564151,-29.08138853288731,225.48513303411474,-55.913146936924925,-39.42800725781204,-173.5047867506593,0,0.9570446,0.0025528064,0.18127728,8.7740883E-4,0.39826965,9.887072E-4,0.06303787,0.0014164353,1.0236273,0.0025528064,0.17761707,8.7740883E-4,0.11512852,9.887072E-4,0.3000965,0.0014164353,-0.23025788,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.0129769575,0.066896215,0.0492216,0.03569961,0.027069934,0.01919292,,15.21339,0.0022852868,15.201274,0.0024819204,15.202409,0.0022773948,15.197569,0.0022165577,15.619204,15.412066,15.236799,0.46381637,5.013957,0.037642717,94.99656,0,44.225613,-1,0.012128117,4194432,4,0.0,0.0,,14.23826,5.45672E-4,14.244229,5.9740397E-4,14.247019,5.5635336E-4,14.252266,5.2754616E-4,14.595576,14.436182,14.292558,0.4704617,6.288592,0.06404781,72.86998,0,45.49169,-1,-0.5582872,4194432,4,-0.029567184,0.062715635,,14.2095375,6.2359805E-4,14.062952,6.426156E-4,14.123827,6.1717676E-4,14.191579,6.053908E-4,14.417959,14.322254,14.234197,0.2472689,6.6520925,0.15860492,0.051612854,0,40.809563,-1,1.2154126,4194432,6,-0.034033515,0.4285134,,13.528227,5.9391424E-4,13.664682,7.513901E-4,13.649192,6.564287E-4,13.646937,5.9585366E-4,14.302831,13.999696,13.730377,0.8727833,6.194222,0.12179476,81.870125,0,39.438374,-1,1.7806106,4194448,19,-0.037178427,0.06177855,,13.786184,0.0012380853,13.6016445,0.0012007089,13.666045,0.0011675918,13.740439,0.0012216597,14.002734,13.901805,13.79247,0.26957285,5.1108236,0.178644,179.89548,0,42.062637,-1,-2.4555912,4194432,1,6.7606865E-4,0.2872888,1
VST-ATLAS J032832.00-285551.23,730226487607,22911,730144538532,52.133352383471255,-28.93089819644678,225.31082666014456,-55.44372096114087,-39.90159638870643,-173.4064285924992,0,1.0800943,0.0032593664,0.4909773,9.537228E-4,0.15472889,0.0010594515,0.10137749,0.0016100106,1.1381598,0.0032593664,0.49174786,9.537228E-4,-0.14962196,0.0010594515,0.32330608,0.0016100106,-1.3147707,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.007570611,0.0390265,0.028715327,0.02082675,0.015792293,0.011196934,,15.572773,0.0033705372,15.552219,0.0031809064,15.55222,0.0029785198,15.552219,0.0031625133,15.947828,15.749896,15.591536,0.39738652,4.668377,0.008668065,11.097305,0,101.98655,-1,-0.20254187,,38,0.0,0.0,,14.42393,6.5505854E-4,14.472125,7.1084755E-4,14.47368,6.634484E-4,14.47471,6.3225505E-4,14.809669,14.653284,14.510698,0.49779224,4.8888817,0.017125547,62.505077,0,102.18223,-1,-0.9010406,16,207,-0.04918134,-0.0035010925,,14.450297,7.7943865E-4,13.981148,6.358325E-4,13.983493,5.957734E-4,13.983033,5.654339E-4,14.317921,14.169739,14.01721,0.0,4.798906,0.02207607,103.20622,0,102.18902,-1,-0.7108618,16,291,-0.04869626,0.020175923,,13.824176,7.7029236E-4,13.826419,8.4744E-4,13.830489,7.505973E-4,13.831978,6.8803696E-4,14.467543,14.190812,13.92559,0.6314978,8.206011,0.09850091,81.50829,0,102.21436,-1,-0.3347684,,214,-0.023729915,0.03386709,,13.728747,0.0014550375,13.725041,0.0013689338,13.724908,0.0012924568,13.723499,0.0013041585,14.144237,13.977273,13.785589,0.54837096,6.174504,0.08676714,82.687584,0,102.646545,-1,-0.17026402,,131,-0.03759068,-0.020433428,1
VST-ATLAS J032723.00-290340.37,730226486204,22911,730144538530,51.84582947587129,-29.061214910633325,225.48936682714512,-55.708369887529585,-39.61835470067034,-173.40684921843442,0,1.0302305,0.004311715,0.5430851,0.00128132,0.13205624,0.0014285615,0.14425087,0.0021246532,1.0960617,0.004311715,0.5352011,0.00128132,-0.15286636,0.0014285615,0.38054752,0.0021246532,0.97071993,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.010263321,0.052907422,0.038928777,0.028234396,0.021409288,0.015179452,,16.227512,0.004526667,16.225208,0.0042041643,16.22051,0.003932218,16.21483,0.0041868766,16.637259,16.431221,16.256685,0.53347486,4.895089,0.12395704,160.64383,0,99.42794,-1,1.437412,,17,0.0,0.0,,15.018338,7.8910444E-4,15.194978,9.57021E-4,15.190987,8.9337176E-4,15.205609,8.693983E-4,15.541197,15.3797,15.250174,0.7066256,3.0487719,0.054715395,53.968422,0,48.478012,-1,1.2298795,4194448,35,3.1921998E-4,-0.08439486,,14.530447,7.229767E-4,14.651893,8.5199275E-4,14.659673,8.0156996E-4,14.678801,7.779857E-4,15.005996,14.86076,14.723581,0.5967534,2.8910117,0.061490178,56.39053,0,48.756706,-1,-1.1882436,4194448,38,-0.025787044,-0.07992463,,14.363853,9.3487866E-4,14.519836,0.0011466893,14.505572,0.0010080866,14.514254,9.519157E-4,15.158862,14.8571,14.602031,0.94549155,3.6541305,0.1614117,77.21228,0,99.00397,-1,1.3931003,16,34,-0.036476366,-0.109755605,,14.1816,0.0016114911,14.375586,0.001788646,14.383833,0.0017207125,14.397991,0.001859307,14.778315,14.6223135,14.451466,0.80374855,2.870414,0.072684646,80.83306,0,49.156788,-1,-1.7242591,4194448,19,0.024651496,-0.08460797,1
VST-ATLAS J032709.61-290233.68,730226486209,22911,730144538530,51.79003081452408,-29.042688468029937,225.44704497995806,-55.754788099884884,-39.583546687074964,-173.45729770027177,0,2.0663948,0.010290204,1.0004625,0.0015467459,0.32708836,0.0014308939,0.2855482,0.001961888,2.132225,0.010290204,0.99257946,0.0015467459,0.042165756,0.0014308939,0.52184486,0.001961888,1.4848073,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.01157484,0.059668303,0.04390337,0.031842384,0.024145117,0.017119188,,17.861395,0.015600128,17.849764,0.0102133835,17.846563,0.010178913,17.840658,0.013308338,18.261814,18.057274,17.882513,0.46138075,3.9423223,0.04587686,8.231125,0,102.765785,-1,0.44322324,,22,0.0,0.0,,15.782405,0.0012457612,15.783369,0.001255028,15.780834,0.0011767898,15.777931,0.0011584559,16.12959,15.969547,15.822495,0.46448,5.6272745,0.06838012,66.73463,0,98.46106,-1,0.78301656,,52,-0.04356919,0.015252667,,14.768247,8.8988413E-4,14.782907,9.040618E-4,14.77855,8.462743E-4,14.77676,8.155529E-4,15.13701,14.979637,14.821541,0.48214555,6.332589,0.09621656,62.721733,0,98.503944,-1,1.3513104,,62,-0.03923356,0.011195399,,14.426556,0.0010257248,14.455818,0.0011091122,14.442935,9.7512E-4,14.428989,9.067901E-4,15.094844,14.794462,14.516767,0.66196615,7.713317,0.11267948,80.60043,0,100.732025,-1,1.0520262,,54,-0.07856133,-0.027696902,,14.183424,0.0017701344,14.17027,0.0016182937,14.171908,0.0015437624,14.170269,0.0016181833,14.572999,14.410389,14.223743,0.4948008,5.7159076,0.072401345,92.412834,0,101.35527,-1,-0.77557284,,29,-0.06207926,0.008082879,1
VST-ATLAS J032701.88-290036.18,730226486215,22911,730144538530,51.757853601789606,-29.010049113945136,225.3838123028811,-55.77911011924264,-39.57351784977581,-173.51167186768964,730144538529,2.1212587,0.009698386,1.1083403,0.0014117906,0.44836044,0.0012161176,0.35859585,0.0015792763,2.18709,0.009698386,1.1004562,0.0014117906,0.16343784,0.0012161176,0.59489346,0.0015792763,-0.09087167,-1,0.999999,5.2922104E-7,5.2922104E-7,0.0,0.012713161,0.06553635,0.048221022,0.034973904,0.026519654,0.018802766,,17.718351,0.0138580995,17.731955,0.009628143,17.733507,0.009575075,17.712166,0.012212895,18.144005,17.944218,17.75402,0.51283175,3.817094,0.06362939,166.06773,0,48.99272,-1,0.22967905,4194432,28,0.0,0.0,,15.616297,0.0011232683,15.610696,0.0011651451,15.608581,0.0010913966,15.606156,0.0010677682,15.956915,15.797294,15.650721,0.45023605,5.3308487,0.047242463,66.53161,0,49.723972,-1,0.574264,4194432,94,0.013143074,0.09633035,,14.507504,7.748673E-4,14.502356,7.9723884E-4,14.511183,7.49897E-4,14.5187,7.2086806E-4,14.856459,14.71227,14.56348,0.4240391,6.3069005,0.11392218,64.561676,0,49.98836,-1,-1.2260787,4194432,122,0.02500693,0.090671994,,14.0574,8.0613664E-4,14.053995,9.1834215E-4,14.05207,8.0934266E-4,14.050005,7.457566E-4,14.693021,14.403597,14.137782,0.6128543,7.3536677,0.17121238,80.57797,0,51.4449,-1,0.3209056,4194432,98,0.04072628,0.052163396,,13.704455,0.0013487772,13.695399,0.0012848196,13.699603,0.001216143,13.7022,0.0012292627,14.098127,13.938084,13.755674,0.51217204,5.9118147,0.09474015,88.52749,0,62.47425,-1,-0.6956231,4194432,61,0.048255235,0.12555805,0
